structural_state,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
early,0.1,1.0,0.0,0.0,0.375,0.3296726621209863,0.3296726621209863,0.0,0.5390844171540782,0.6476611361685698,0.0
early,0.3,1.0,0.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
early,0.5,1.0,0.5,1.0,0.375,0.388177731572517,0.388177731572517,0.0,0.7044462927531923,0.57158984389505,0.0
early,0.7,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
early,0.9,1.0,1.0,0.0,0.375,0.3296726621209863,0.3296726621209863,0.0,0.5390844171540782,0.6476611361685698,0.0
mature,0.1,2.5,0.0,0.0,0.375,-0.9472247076182354,0.0,0.9472247076182354,0.6289969954628534,3.465933796111104,0.9659337961111039
mature,0.3,2.5,0.25,0.75,0.25,-0.0018815798821840701,0.0,0.0018815798821840701,0.8736129782713913,2.5023660960494762,0.0023660960494762406
mature,0.5,3.0,0.5,1.0,0.375,-0.07550466026548963,0.0,0.07550466026548963,0.919829314179875,3.0880212516818215,0.08802125168182151
mature,0.7,2.5,0.75,0.75,0.25,-0.0018815798821840701,0.0,0.0018815798821840701,0.8736129782713913,2.5023660960494762,0.0023660960494762406
mature,0.9,2.5,1.0,0.0,0.375,-0.9472247076182354,0.0,0.9472247076182354,0.6289969954628534,3.465933796111104,0.9659337961111039
